codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
19,45413,PPXRB,EXPERIMENTAL,AVIÃO,,ACROBATA,ZZZZ,PISTÃO,MONOMOTOR,1467,1467,2.0,2007.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,1
20,45414,PTIRJ,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,AVIÃO,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,MARECHAL RONDON,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
21,45415,PROEA,,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,2005.0,HELICÓPTERO,INSTRUÇÃO,JACAREPAGUÁ,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
22,45417,PTVNO,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1990.0,AVIÃO,TÁXI AÉREO,TANGARÁ DA SERRA,MARECHAL RONDON,POUSO,PRIVADA,SUBSTANCIAL,0
23,45447,PRRHF,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,2948,8.0,1969.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
24,45466,PTONX,,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,2495,2495,6.0,1979.0,AVIÃO,PARTICULAR,FRANCISCO LACERDA JÚNIOR,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,PRIVADA,SUBSTANCIAL,0
25,45469,PTHQX,TÁXI AÉREO,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1452,1452,5.0,1983.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,TÁXI AÉREO,LEVE,0
26,45470,PRWJS,REGULAR,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,61234,61234,156.0,1989.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
27,45487,PTLOU,,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2268,2268,6.0,1982.0,AVIÃO,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BAIÃO,DECOLAGEM,TÁXI AÉREO,DESTRUÍDA,4
28,45490,PRLAB,,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1996.0,AVIÃO,PARTICULAR,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,FAZENDA NOVA CONCEIÇÃO,SUBIDA,PRIVADA,DESTRUÍDA,3
