codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
1631,52070,PTEZJ,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1542,7.0,1981.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
1632,52071,PRLDA,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,TÁXI AÉREO,NENHUM,0
1633,52072,PRRHG,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,525A,C25A,JATO,BIMOTOR,5670,5670,9.0,2006.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,NENHUM,0
1634,52073,PTTOY,TÁXI AÉREO,HELICÓPTERO,AGUSTA,A109E,A109,TURBOEIXO,BIMOTOR,2850,2850,7.0,2005.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,LEVE,0
1635,52231,PTRSN,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1984.0,AVIÃO,PARTICULAR,FAZENDA JUSSARA,SANTA GENOVEVA/GOIÂNIA,POUSO,PRIVADA,SUBSTANCIAL,0
1636,52240,PTDFZ,,AVIÃO,CESSNA AIRCRAFT,150H,C150,PISTÃO,MONOMOTOR,725,725,2.0,1968.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,INSTRUÇÃO,SUBSTANCIAL,0
1637,52241,PRZRB,EXPERIMENTAL,AVIÃO,JOSE ROBERTO BARBOSA,BUMERANGUE EX-27 CROSS-CONTRY,ZZZZ,PISTÃO,MONOMOTOR,1260,1260,4.0,2011.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
1638,52242,PRCDL,PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2495,2495,6.0,2003.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
1639,52243,PRBGF,PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,EC20,TURBOEIXO,MONOMOTOR,1715,1715,5.0,2000.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
1640,52244,PRZRB,EXPERIMENTAL,AVIÃO,JOSE ROBERTO BARBOSA,BUMERANGUE EX-27 CROSS-CONTRY,ZZZZ,PISTÃO,MONOMOTOR,1260,1260,4.0,2011.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,LEVE,0
1641,52245,PTWRS,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1997.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
1642,52246,N70FL,PARTICULAR,AVIÃO,DASSAULT AVIATION,FALCON 7X,,PISTÃO,TRIMOTOR,31298,31298,0.0,,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
1643,52247,PRRMY,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1977.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
1644,52248,PTVGT,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1988.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
1645,52262,PTWPH,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1542,7.0,1976.0,AVIÃO,PARTICULAR,BALSAS,SENADOR PETRÔNIO PORTELLA,DECOLAGEM,PRIVADA,DESTRUÍDA,5
1646,52263,PTKQM,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1975.0,AVIÃO,PARTICULAR,PROFESSOR ERIBERTO MANOEL REINO,PROFESSOR ERIBERTO MANOEL REINO,POUSO,PRIVADA,SUBSTANCIAL,0
1647,52264,PTLZL,,AVIÃO,MOONEY AIRCRAFT,M20K,M20T,PISTÃO,MONOMOTOR,1315,1315,4.0,1989.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
1648,52265,PRAFA,,AVIÃO,CESSNA AIRCRAFT,560XLS+,C56X,JATO,BIMOTOR,9163,9163,14.0,2010.0,AVIÃO,PARTICULAR,SANTOS DUMONT,BASE AÉREA DE SANTOS,CIRCUITO DE TRÁFEGO,PRIVADA,DESTRUÍDA,7
1649,52271,PRNEO,,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,2427,7.0,2004.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
1650,52273,PTDQG,,AVIÃO,CESSNA AIRCRAFT,182N,C182,PISTÃO,MONOMOTOR,1338,1338,4.0,1970.0,AVIÃO,PARTICULAR,FEIJÓ,FEIJÓ,SUBIDA,PRIVADA,SUBSTANCIAL,0
1651,52274,PTJRY,,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1383,1383,6.0,1972.0,AVIÃO,PARTICULAR,FRANK MILOYE MILENKOVICH,TENENTE LUND PRESETTO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
1652,52275,PTRXS,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,1633,7.0,1986.0,AVIÃO,TÁXI AÉREO,POUSO DA ÁGUIA,CATRIMANI I,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
1653,52276,PTLVV,,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1383,1383,5.0,1990.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,COMANDANTE CARLOS INÁCIO AGNES,DECOLAGEM,PRIVADA,DESTRUÍDA,0
1654,52277,PTDLA,,AVIÃO,CESSNA AIRCRAFT,177B,C177,PISTÃO,MONOMOTOR,1134,1134,4.0,1970.0,AVIÃO,PARTICULAR,BACACHERI,14 BIS,DECOLAGEM,PRIVADA,DESTRUÍDA,3
1655,52278,PTYFD,,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,1089,1089,4.0,1997.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
1656,52279,PRTOT,,AVIÃO,CESSNA AIRCRAFT,172R,C172,PISTÃO,MONOMOTOR,1111,1111,4.0,1997.0,AVIÃO,PARTICULAR,MARECHAL RONDON,COMANDANTE GASTÃO,ARREMETIDA NO AR,PRIVADA,DESTRUÍDA,2
1657,52280,PUIHS,EXPERIMENTAL,ULTRALEVE,DIEGO CÂMARA MORAIS,CONQUEST 180,ULAC,PISTÃO,MONOMOTOR,750,750,2.0,2011.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,EXPERIMENTAL,SUBSTANCIAL,0
1658,52281,PUEDR,EXPERIMENTAL,ULTRALEVE,ANDRE A.FERDINAND,BUCKER,ULAC,PISTÃO,MONOMOTOR,700,700,2.0,2005.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,EXPERIMENTAL,SUBSTANCIAL,0
1659,52282,PUSEH,EXPERIMENTAL,ULTRALEVE,HENRIQUE DRUMOND LIMA DE OLIVEIRA,PARADISE P-1,ULAC,PISTÃO,MONOMOTOR,750,750,2.0,2010.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,SUBSTANCIAL,0
1660,52283,PUDET,EXPERIMENTAL,ULTRALEVE,,PARADISE,ULAC,PISTÃO,MONOMOTOR,680,680,2.0,2006.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,EXPERIMENTAL,SUBSTANCIAL,0
1661,52284,PUWFA,EXPERIMENTAL,ULTRALEVE,,FASCINATION,ULAC,PISTÃO,MONOMOTOR,500,500,2.0,2002.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,LEVE,0
1662,52285,PPXLI,EXPERIMENTAL,AVIÃO,,K-51,ZZZZ,PISTÃO,MONOMOTOR,950,950,1.0,1998.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,EXPERIMENTAL,SUBSTANCIAL,0
1663,52286,PPGBK,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,AVIÃO,INSTRUÇÃO,BACACHERI,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
1664,52287,PRHRV,,HELICÓPTERO,SIKORSKY AIRCRAFT,S-61N,S61,TURBOEIXO,BIMOTOR,9299,9299,21.0,1977.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,0
1665,52288,PPGYB,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-B,PAUL,PISTÃO,MONOMOTOR,660,660,2.0,1963.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0
1666,52288,PPHGB,,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1947.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,LEVE,0
1667,52289,PTLYG,,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2268,2268,6.0,1982.0,AVIÃO,PARTICULAR,PIQUET,BOTELHO,POUSO,PRIVADA,SUBSTANCIAL,0
1668,52290,PRTAX,,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1810,1810,6.0,1984.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
1669,52291,PTRMX,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1982.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
1670,52292,PPFLF,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,3.0,1990.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
1671,52293,PRGPG,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1976.0,AVIÃO,TÁXI AÉREO,POUSO DA ÁGUIA,WILIMON,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
1672,52295,PRGEB,,AVIÃO,RAYTHEON AIRCRAFT,B300,B350,TURBOÉLICE,BIMOTOR,6804,6804,11.0,2006.0,AVIÃO,PARTICULAR,JÚLIO BÉLEM,EDUARDO GOMES,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
1673,52296,PRGXA,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,199.0,2013.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
1674,52297,PRPFN,ADMINISTRAÇÃO DIRETA,AVIÃO,EMBRAER,EMB-145LR,E145,JATO,BIMOTOR,22000,22000,54.0,1996.0,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,POLICIAL,NENHUM,0
1675,52298,PTMZD,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,64000,64000,154.0,1999.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
1676,52300,PRAYB,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2008.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
1677,52301,PRAXC,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2012.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
1678,52302,PRATH,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2012.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
1679,52303,PTDXE,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,182N,C182,PISTÃO,MONOMOTOR,1388,1388,4.0,1971.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0
1680,52304,PUHEZ,EXPERIMENTAL,ULTRALEVE,INPAER INDUSTRIA PAULISTA E AERONÁUTICA,CONQUEST 180,ULAC,PISTÃO,MONOMOTOR,710,710,2.0,2008.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,LEVE,0
1681,52305,PTDBM,ESPECIALIZADA,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,2948,4.0,1970.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,ESPECIALIZADA,LEVE,0
1682,52306,PRIDE,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1981.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
1683,52307,PRAVU,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,172.0,2011.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
1684,52308,PREJQ,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1982.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
1685,52309,PURAK,EXPERIMENTAL,ULTRALEVE,AEROBRAVO LTDA,BRAVO 700,ULAC,PISTÃO,MONOMOTOR,550,550,2.0,2012.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,ESPERA,EXPERIMENTAL,NENHUM,0
1686,52310,PTVSS,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1997.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
1687,52311,PTVOB,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1991.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
1688,52312,PULLO,EXPERIMENTAL,ULTRALEVE,AEROBRAVO LTDA,BRAVO 700,ULAC,PISTÃO,MONOMOTOR,600,600,2.0,2013.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,NENHUM,0
1689,52313,PRMHM,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2007.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
1690,52314,PTVIY,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,7.0,1989.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
1691,52315,PTYRA,PARTICULAR,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1997.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,PRIVADA,NENHUM,0
1692,52316,PTERL,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,7.0,1978.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
1693,52317,PTTVG,TÁXI AÉREO,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,2427,7.0,,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
1694,52318,PRATE,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2011.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
1695,52331,PRVDA,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PA46,PISTÃO,MONOMOTOR,1968,1968,6.0,2007.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
1696,52332,PRONJ,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-115,A319,JATO,BIMOTOR,75500,75500,141.0,2012.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
1697,52333,PRPDD,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22000,22000,73.0,1998.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
1698,52334,PRIOD,REGULAR,AVIÃO,BOEING COMPANY,727-264,B722,JATO,TRIMOTOR,88360,88360,5.0,1983.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,LEVE,0
1699,52335,PRJAI,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-34-200T,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1975.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
1700,52336,PTOBL,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1976.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,PARTIDA DO MOTOR,TÁXI AÉREO,SUBSTANCIAL,0
1701,52337,PTOZA,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,4.0,1989.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
1702,52338,PRZMH,EXPERIMENTAL,AVIÃO,HAROLDO CARNEIRO LEAO SOBRINHO,RV-7,ZZZZ,PISTÃO,MONOMOTOR,816,816,2.0,2012.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,LEVE,0
1703,52340,PRCIG,,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2012.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,2
1704,52341,PUPPP,EXPERIMENTAL,ULTRALEVE,EDRA INDUSTRIA AERONAUTICA LTDA,DYNAMIC WT-9,ULAC,PISTÃO,MONOMOTOR,600,600,2.0,2012.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,1
1705,52342,PPXFT,EXPERIMENTAL,ULTRALEVE,,GESPI-2000,ULAC,PISTÃO,MONOMOTOR,550,550,2.0,2001.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,EXPERIMENTAL,SUBSTANCIAL,0
1706,52343,PPEIF,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,500,C500,JATO,BIMOTOR,5375,5375,7.0,1984.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,PRIVADA,NENHUM,0
1707,52343,PRBVG,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,172S,C172,PISTÃO,MONOMOTOR,1157,1157,4.0,2003.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,PRIVADA,NENHUM,0
1708,52344,PRGNC,PARTICULAR,AVIÃO,BEECH AIRCRAFT,G58,BE58,PISTÃO,BIMOTOR,2495,2495,6.0,2008.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
1709,52345,PPGOI,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1993.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0
1710,52345,PTJJB,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,402B,C402,PISTÃO,BIMOTOR,2858,2858,8.0,1973.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,NENHUM,0
1711,52346,PTODU,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1981.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
1712,52471,PTVMQ,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,1633,7.0,1991.0,AVIÃO,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,LORENZO,POUSO,TÁXI AÉREO,LEVE,0
1713,52531,PPXZB,EXPERIMENTAL,PLANADOR,SHEMPP-HIRTH FLUGZEUBAU,NIMBUS 3D PLAN.,ZZZZ,,SEM TRAÇÃO,750,750,0.0,,PLANADOR,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,RETA FINAL,EXPERIMENTAL,SUBSTANCIAL,0
1714,52532,PUWHM,EXPERIMENTAL,ULTRALEVE,JOSE ANTONIO ZATTAR JR,NYNJA,ULAC,PISTÃO,MONOMOTOR,472,472,2.0,2012.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,DESTRUÍDA,0
1715,52533,PTVDQ,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,7.0,1987.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,PRIVADA,NENHUM,0
1716,52536,PUSLT,EXPERIMENTAL,ULTRALEVE,TECNAM CONSTRUZIONI AERONAUTICHE,P2008,ZZZZ,PISTÃO,MONOMOTOR,600,600,2.0,2011.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,SUBSTANCIAL,0
1717,52537,PTGZZ,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1984.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
1718,52538,PRPAS,,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2007.0,AVIÃO,PARTICULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,BOQUIRA,POUSO,PRIVADA,SUBSTANCIAL,0
1719,52539,RA0976G,,DIRIGÍVEL,MAULE AIRCRAFT,,SHIP,PISTÃO,MONOMOTOR,250,250,0.0,,DIRIGÍVEL,,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
1720,52539,SPBBP,,DIRIGÍVEL,MAULE AIRCRAFT,,SHIP,PISTÃO,MONOMOTOR,250,250,0.0,,DIRIGÍVEL,,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
1721,52551,PRJFS,,AVIÃO,AEROMOT,AMT-600,GURI,PISTÃO,MONOMOTOR,900,900,2.0,2006.0,AVIÃO,INSTRUÇÃO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0
1722,52552,PRAXK,,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2012.0,AVIÃO,REGULAR,TANCREDO NEVES,PORTO SEGURO,POUSO,REGULAR,LEVE,0
